Unique_ID,Country,Year,Date,Time,Location,Acc_Type,Colli_Type,Acc_Detail,CauseDetai,Assistance,Offence,Damage,HumanEleme,IceCondit,CrewIceTra,Pollution,Pollu_m3,Pollu_t,Pollu_Type,RespAction,Cargo_Type,Ship1_Name,Sh1_Categ,Sh1_Type,Sh1_Hull,Sh1Size_gt,Sh1Sizedwt,Sh1Draug_m,Cause_Sh1,Pilot_Sh1,Ship2_Name,Sh2_Categ,Sh2_Type,Sh2_Hull,Sh2Size_gt,Sh2Sizedwt,Sh2Draug_m,Cause_Sh2,Pilot_Sh2,Add_Info,Latitude,Longitude,source
1989_0001,,1989.0,1989-01-07,,,Collision,n.i.,,,,,,,,,Yes,0.0,,oil,,,"Argus, Swinoujscie, Poland",Other,,,,"336,4",,,,,,,,,,,,,,53.9,14.2,HELCOM reporting
1989_0002,,1989.0,1989-04-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Frizis Rosin, USSR",Other,,,,2000,,,,,,,,,,,,,,58.8,23.4,HELCOM reporting
1989_0003,,1989.0,1989-05-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Turinsk, USSR",Other,,,,3500,,,,,,,,,,,,,,58.6,23.4,HELCOM reporting
1989_0004,,1989.0,1989-05-18,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,"Kol-36, Poland",Other,,,,42,,,,,,,,,,,,,,54.5,15.067,HELCOM reporting
1989_0005,,1989.0,1989-05-29,,,Pollution,,refuelling,,,,,,,,Yes,0.1,,oil,,,"Stena Nordica, Sweden, SMQF",Passenger,Passenger ro-ro,,,1200,,,,,,,,,,,,,,57.683,11.917,HELCOM reporting
1989_0006,,1989.0,1989-06-13,,,Grounding,,,,,,,,,,No,0.0,,,,,"Ms Saronikos II, GRE",Other,,,,16160,,,,,,,,,,,,,,60.362,26.692,HELCOM reporting
1989_0007,,1989.0,1989-08-27,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,Seebong,Other,Coaster,,,,,,,,,,,,,,,,,54.717,12.067,HELCOM reporting
1989_0008,,1989.0,1989-10-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Sprante, FRG",Other,,,,2000,,,,,,,,,,,,,,60.525,28.383,HELCOM reporting
1989_0009,,1989.0,1989-12-25,,,Collision,n.i.,,,,,,,,,n.i.,0.0,,,,,"Povl Anker, Denmark, OYRA",Passenger,Ferry,,,2361,,,,,,,,,,,,,,55.367,13.8,HELCOM reporting
1989_0010,,1989.0,1989-12-29,,,Pollution,,during loading,,,,,,,,Yes,0.3,,oil,,,"Forsvik, Sweden, SJPV",Tanker,,Single hull,,3898,,,,,,,,,,,,,,57.702,11.95,HELCOM reporting
1990_0001,,1990.0,1990-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,53.908,11.442,HELCOM reporting
1990_0002,,1990.0,1990-02-08,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,Trawemunde Link,Passenger,Ferry,,,,,,,,,,,,,,,,,54.55,11.967,HELCOM reporting
1990_0003,,1990.0,1990-02-14,,,Grounding,,,,,,,,,,No,0.0,,,,,"Ms Blue Stone, GRE",Other,,,,7848,,,,,,,,,,,,,,59.832,22.872,HELCOM reporting
1990_0004,,1990.0,1990-03-14,,,Sunk,,wrecked,,,,,,,,n.i.,0.0,,,,,Tareomoro,Cargo,Barge,,,,,,,,,,,,,,,,,55.45,18.733,HELCOM reporting
1990_0005,,1990.0,1990-03-29,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,Lady Sky,Cargo,Dry cargo,,,83713,,,,,,,,,,,,,,55.067,14.65,HELCOM reporting
1990_0006,,1990.0,1990-05-09,,,Grounding,,,,,,,,,,No,0.0,,,,,"Push+pram, FIN",Other,,,,14447,,,,"Board, FIN",n.i.,,,,,,,,,59.828,19.923,HELCOM reporting
1990_0007,,1990.0,1990-05-20,,,Grounding,,,,,,,,,,No,0.0,,,,,"Isaksson, FIN",Other,Tug,,,,,,,,,,,,,,,,,60.76,21.302,HELCOM reporting
1990_0008,,1990.0,1990-06-14,,,Collision,n.i.,,,,,,,,,Yes,5.0,,oil,,,"Monika Ehler, Germany, DFMC",Cargo,General cargo,,,3070,,,,,,,,,,,,,,57.9,18.4,HELCOM reporting
1990_0009,,1990.0,1990-06-25,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Dar-126, Poland",Other,,,,12,,,,,,,,,,,,,,54.433,16.367,HELCOM reporting
1990_0010,,1990.0,1990-07-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Fc-59, USSR",Other,,,,250,,,,,,,,,,,,,,59.967,27.817,HELCOM reporting
1990_0011,,1990.0,1990-09-21,,,Grounding,,,,,,,,,,No,0.0,,,,,"Jurand, Poland",Other,,,,20,,,,,,,,,,,,,,54.65,18.7,HELCOM reporting
1990_0012,,1990.0,1990-10-11,,,Pollution,,leakage,,,,,,,,Yes,0.1,,oil,,,"Heldarstindur, The Faroes, OW2175",Other,Fishing vessel,,,Br. 182,,,,,,,,,,,,,,55.476,14.326,HELCOM reporting
1990_0013,,1990.0,1990-11-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Reinworld Cnizemark, FRG",Other,,,,2000,,,,,,,,,,,,,,60.15,29.5,HELCOM reporting
1990_0014,,1990.0,1990-11-17,,,Grounding,,,,,,,,,,No,0.0,,,,,"Sanna, FIN",Other,,,,1319,,,,,,,,,,,,,,59.789,22.882,HELCOM reporting
1990_0015,,1990.0,1990-12-12,,,Physical damage,,propeller damage,,,,,,,,Yes,15.0,,oil,,,"Sterno, Sweden, SLCU",Cargo,General cargo,,,Br. 499,,,,,,,,,,,,,,58.648,16.51,HELCOM reporting
1990_0016,,1990.0,1990-12-27,,,Other,,Capsize,,,,,,,,Yes,37.5,,oil,,,"Finn-BAltic, FIN",Other,,,,,,,,,,,,,,,,,,59.808,22.958,HELCOM reporting
1990_0017,,1990.0,1990-12-27,,,Grounding,,,,,,,,,,No,0.0,,,,,"Ro-Ro Trans-Germania, GER",Other,,,,5233,,,,,,,,,,,,,,59.79,21.333,HELCOM reporting
1990_0018,,1990.0,1990-05-14,,,Collision,n.i.,,,,,,,,,Yes,125.0,,oil,,,"Volganeft 263, Russia, EOXN",Tanker,,Single hull,,Br. 3481,,,,,,,,,,,,,,55.95,16.067,HELCOM reporting
1991_0001,,1991.0,1991-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.704,13.649,HELCOM reporting
1991_0002,,1991.0,1991-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.483,15.1,HELCOM reporting
1991_0003,,1991.0,1991-01-11,,,Grounding,,,,,,,,,,Yes,15.0,,oil,,,"Antares, FIN",Other,,,,9113,,,,,,,,,,,,,,61.108,21.269,HELCOM reporting
1991_0004,,1991.0,1991-02-06,,,Grounding,,,,,,,,,,No,0.0,,,,,"RO-RO Finnmaid, SV",Other,,,,,,,,,,,,,,,,,,60.033,20.0,HELCOM reporting
1991_0005,,1991.0,1991-03-27,,,Fire,,,,,,,,,,Yes,0.25,,oil,,,"Albany, FIN",Other,,,,,,,,,,,,,,,,,,61.767,19.733,HELCOM reporting
1991_0006,,1991.0,1991-04-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Tb-0051, USSR",Other,,,,110,,,,,,,,,,,,,,59.933,26.883,HELCOM reporting
1991_0007,,1991.0,1991-04-07,,,Grounding,,,,,,,,,,No,0.0,,,,,"Trade Wind, CYP",Other,,,,3089,,,,,,,,,,,,,,62.301,21.217,HELCOM reporting
1991_0008,,1991.0,1991-04-17,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Canopus, Finland, 9HFN4",Cargo,Bulker,,,8815,,,,,,,,,,,,,,54.567,11.833,HELCOM reporting
1991_0009,,1991.0,1991-04-29,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Baltika PM 1001, Russia",Other,Fishing vessel,,,,,,,,,,,,,,,,,54.983,15.133,HELCOM reporting
1991_0010,,1991.0,1991-05-29,,,Technical failure,,propeller failure,,,,,,,,Yes,1.25,,oil,,,"Redwud, GRE",Other,,,,,,,,,,,,,,,,,,59.88,23.15,HELCOM reporting
1991_0011,,1991.0,1991-10-21,,,Grounding,,,,,,,,,,No,0.0,,,,,"Ms Apjkaran, IND",Other,,,,,,,,,,,,,,,,,,60.717,19.333,HELCOM reporting
